,ts_code,trade_date,close,open,high,low,vol,amount
130,000001.SH,20081031,1728.786,2267.394,2267.394,1664.925,101996557100.0,731598028670.0
129,000001.SH,20081128,1871.156,1713.763,2050.879,1678.957,182702364400.0,1183817549017.0
128,000001.SH,20081231,1820.805,1865.743,2100.806,1814.752,227540566400.0,1562954263814.0
127,000001.SH,20090123,1990.657,1849.02,2018.51,1844.094,135002750000.0,974669913640.0
126,000001.SH,20090227,2082.852,2008.134,2402.807,1987.129,324394536400.0,2633630754680.0
125,000001.SH,20090331,2373.213,2066.229,2392.769,2037.024,287186206800.0,2502940650221.0
124,000001.SH,20090430,2477.569,2380.979,2579.218,2331.877,317754212400.0,3006594591013.0
123,000001.SH,20090527,2632.93,2486.685,2688.112,2486.225,247149454700.0,2418631671149.0
122,000001.SH,20090630,2959.362,2668.4,2997.272,2668.4,297823536800.0,3082505012076.0
121,000001.SH,20090731,3412.062,2950.169,3454.019,2947.69,416594302400.0,4727470472212.0
120,000001.SH,20090831,2667.745,3429.693,3478.01,2662.997,290961434500.0,3333276559830.0
119,000001.SH,20090930,2779.426,2649.168,3068.028,2639.759,258009277900.0,2830021253289.0
118,000001.SH,20091030,2995.848,2840.131,3123.463,2834.618,176734400300.0,1998263557003.0
117,000001.SH,20091130,3195.301,2933.817,3361.386,2923.525,342999093200.0,3908779186403.0
116,000001.SH,20091231,3277.139,3191.058,3334.011,3039.858,269095633800.0,3191408952146.0
115,000001.SH,20100129,2989.292,3289.75,3306.751,2963.891,235567903400.0,2907731979924.0
114,000001.SH,20100226,3051.943,2981.374,3067.525,2890.021,122554105100.0,1429058112891.0
113,000001.SH,20100331,3109.105,3057.006,3132.576,2963.438,214915938600.0,2527176706019.0
112,000001.SH,20100430,2870.611,3111.935,3181.663,2820.949,229744651400.0,2875408233730.0
111,000001.SH,20100531,2592.147,2821.354,2862.555,2481.974,166994833900.0,1864427523919.0
110,000001.SH,20100630,2398.37,2577.763,2598.897,2382.358,122570128600.0,1295725373920.0
109,000001.SH,20100730,2637.503,2393.947,2656.408,2319.739,190747404700.0,1749555650828.0
108,000001.SH,20100831,2638.798,2635.807,2701.93,2564.838,240948800600.0,2474386475722.0
107,000001.SH,20100930,2655.658,2641.053,2704.933,2573.629,204526103600.0,2349748521929.0
106,000001.SH,20101029,2978.835,2681.253,3073.384,2677.994,297014940300.0,3684209273668.0
105,000001.SH,20101130,2820.181,2986.886,3186.72,2758.924,353400190700.0,4578969962106.0
104,000001.SH,20101231,2808.077,2810.543,2939.05,2721.479,211966345300.0,2647072525901.0
103,000001.SH,20110131,2790.694,2825.329,2868.005,2661.448,172827304500.0,2024148567221.0
102,000001.SH,20110228,2905.053,2795.071,2944.413,2760.175,175649129400.0,2163621465625.0
101,000001.SH,20110331,2928.111,2906.285,3012.044,2850.945,294103337700.0,3697125729696.0
