date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018/2/1,4276.34,4287.39,4245.9,4214.29,190002928,-30,-0.7,4292.244,4322.08,4267.533,168515081.6,184377059.2,170424707.6
2018/2/2,4213.94,4271.76,4271.23,4181.78,146066832,25.33,0.6,4270.23,4320.663,4274.157,162282998.4,178034684.8,170277555.6
2018/2/5,4204.46,4274.15,4274.15,4200.14,161347792,2.92,0.07,4264.656,4314.418,4279.857,156332486.4,176705144,169651062
2018/2/6,4182.33,4211.52,4148.89,4131.56,214910448,-125.26,-2.93,4243.214,4291.046,4277.836,171507632,178009430.4,173444869.2
2018/2/7,4205.74,4212.57,4050.5,4048.42,203127504,-98.39,-2.37,4198.134,4257.107,4269.971,183091100.8,176340292.8,176045161.2
2018/2/8,4022.88,4071.67,4012.05,3974.68,159269984,-38.45,-0.95,4151.364,4221.804,4260.294,176944512,172729796.8,177929733.6
2018/2/9,3896.17,3911.29,3840.65,3759.15,206349824,-171.4,-4.27,4065.248,4167.739,4241.076,189001110.4,175642054.4,182679484.8
2018/2/12,3846.27,3907.84,3890.1,3828.07,116182640,49.45,1.29,3988.438,4126.547,4224.319,179968080,168150283.2,179943222.4
2018/2/13,3925.6,3986.98,3935.63,3925.6,112565880,45.53,1.17,3945.786,4094.5,4208.177,159499166.4,165503399.2,177496768.4
2018/2/14,3945.09,3971.4,3966.96,3923.13,71081336,31.33,0.8,3929.078,4063.606,4194.119,133089932.8,158090516.8,170335283.2
2018/2/22,4020.97,4058.79,4052.73,4009.92,105811568,85.77,2.16,3937.214,4044.289,4183.185,122398249.6,149671380.8,167024220
2018/2/23,4061.75,4085.2,4071.09,4035.23,99458744,18.36,0.45,3983.302,4024.275,4172.469,101020033.6,145010572,161522628.4
2018/2/26,4093.4,4128.74,4118.42,4048.98,137881008,47.33,1.16,4028.966,4008.702,4161.56,105359707.2,142663893.6,159684518.8
2018/2/27,4120.87,4120.87,4058.98,4051.81,125934472,-59.44,-1.44,4053.636,3999.711,4145.379,108033425.6,133766296,155887863.2
2018/2/28,4016.79,4051.71,4023.64,3991.71,109343592,-35.34,-0.87,4064.972,3997.025,4127.066,115685876.8,124387904.8,150364098.8
2018/3/1,3994.87,4061.03,4049.09,3986.89,110199848,25.45,0.63,4064.244,4000.729,4111.267,116563532.8,119480891.2,146105344
2018/3/2,4014.95,4044.42,4016.46,4006.94,96165000,-32.63,-0.81,4053.318,4018.31,4093.025,115904784,108462408.8,142052231.6
2018/3/5,4021.66,4042.83,4018.1,3995.87,87952544,1.64,0.04,4033.254,4031.11,4078.829,105919091.2,105639399.2,136894841.2
2018/3/6,4034.99,4067.55,4066.56,3998.93,138762448,48.46,1.21,4034.77,4044.203,4069.352,108484686.4,108259056,136881227.6
2018/3/7,4063.5,4089.7,4036.65,4027.94,106952424,-29.91,-0.74,4037.372,4051.172,4057.389,108006452.8,111846164.8,134968340.8
2018/3/8,4038.95,4078.23,4077.6,4029.71,91155816,40.95,1.01,4043.074,4053.659,4048.974,104197646.4,110380589.6,130025985.2
2018/3/9,4088.07,4110.67,4108.87,4076.45,113701808,31.27,0.77,4061.556,4057.437,4040.856,107705008,111804896,128407734
2018/3/12,4130.71,4139.53,4127.67,4112.77,140906736,18.8,0.46,4083.47,4058.362,4033.532,118295846.4,112107468.8,127385681.2
2018/3/13,4124.33,4130.28,4091.25,4087.56,111766424,-36.42,-0.88,4088.408,4061.589,4030.65,112896641.6,110690664,122228480
2018/3/14,4076.06,4089.09,4073.34,4066.49,99013408,-17.91,-0.44,4095.746,4066.559,4031.792,111308838.4,109657645.6,117022775.2
2018/3/15,4058.71,4098.99,4096.16,4058.71,88161160,22.82,0.56,4099.458,4071.266,4035.998,110709907.2,107453776.8,113467334
2018/3/16,4096.89,4110.05,4056.42,4055.82,84896192,-39.74,-0.97,4088.968,4075.262,4046.786,104948784,106326896,107394652.4
2018/3/19,4054.62,4074.52,4074.25,4033.52,81502880,17.83,0.44,4078.284,4080.877,4055.994,93068012.8,105681929.6,105660664.4
2018/3/20,4045.74,4080.19,4077.7,4040.31,80605280,3.45,0.09,4075.574,4081.991,4063.097,86835784,99866212.8,104062634.4
2018/3/21,4097.02,4110.12,4061.05,4046.24,97609496,-16.65,-0.41,4073.116,4084.431,4067.802,86555001.6,98931920,105389042.4
2018/3/22,4062.07,4072.38,4020.35,4003.72,89095264,-40.7,-1,4057.954,4078.706,4066.183,86741822.4,98725864.8,104553227.2
2018/3/23,3896.74,3928.51,3904.94,3834.94,180080448,-115.41,-2.87,4027.658,4058.313,4057.875,105778673.6,105363728.8,108584312.4
2018/3/26,3862.69,3883.9,3879.89,3829.92,115139120,-25.05,-0.64,3988.786,4033.535,4045.949,112505921.6,102786967.2,107447218
2018/3/27,3927.49,3936.78,3913.27,3881.87,113700712,33.38,0.86,3955.9,4015.737,4038.663,119125008,102980396,106835530
2018/3/28,3865.05,3907.28,3842.72,3835.88,101494904,-70.55,-1.8,3912.234,3992.675,4029.617,119902089.6,103228545.6,106443095.6
2018/3/29,3854.59,3913.96,3894.05,3794.26,116629064,51.33,1.34,3886.974,3972.464,4021.865,125408849.6,106075336,106764556.4
2018/3/30,3893.75,3915.35,3898.5,3879.21,97512272,4.45,0.11,3885.686,3956.672,4015.967,108895214.4,107336944,106831920
2018/4/2,3897.01,3937.02,3886.92,3882.89,111242672,-11.58,-0.3,3887.092,3937.939,4009.408,108115924.8,110310923.2,107996426.4
2018/4/3,3850.15,3878.15,3862.48,3839.93,95137376,-24.44,-0.63,3876.934,3916.417,3999.204,104403257.6,111764132.8,105815172.8
2018/4/4,3873.63,3898.61,3854.86,3852.5,88730616,-7.62,-0.2,3879.362,3895.798,3990.115,101850400,110876244.8,104904082.4
2018/4/9,3851.95,3870.67,3852.93,3827.41,84105464,-1.93,-0.05,3871.138,3879.056,3978.881,95345680,110377264.8,104551564.8
2018/4/10,3860.72,3927.42,3927.17,3851.8,106173728,74.24,1.93,3876.872,3881.279,3969.796,97077971.2,102986592.8,104175160.8
2018/4/11,3934.17,3958.71,3938.34,3924.96,111933024,11.17,0.28,3887.156,3887.124,3960.33,97216041.6,102665983.2,102726475.2
2018/4/12,3935.67,3937.78,3898.64,3896.18,82699488,-39.7,-1.01,3894.388,3885.661,3950.699,94728464,99565860.8,101273128.4
2018/4/13,3920.74,3929.95,3871.14,3866.19,71544200,-27.5,-0.7,3897.644,3888.503,3940.589,91291180.8,96570790.4,99899668
