,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
324,399001.SZ,20180531,10295.729,10178.9632,10295.729,10115.6597,10105.7945,189.9345,1.8795,174687655.0,223329173.6
323,399001.SZ,20180601,10169.3541,10247.1554,10280.7399,10122.9886,10295.729,-126.3749,-1.2274,162718880.0,208986405.8
322,399001.SZ,20180604,10204.3167,10192.0432,10237.5962,10148.6938,10169.3541,34.9626,0.3438,145772249.0,191048308.6
321,399001.SZ,20180605,10385.6052,10216.6261,10385.6052,10216.0226,10204.3167,181.2885,1.7766,152789658.0,205931776.5
320,399001.SZ,20180606,10365.1256,10375.2579,10403.9313,10337.7141,10385.6052,-20.4796,-0.1972,145456730.0,197067355.1
319,399001.SZ,20180607,10313.8458,10397.6478,10411.5558,10308.0593,10365.1256,-51.2798,-0.4947,147571355.0,192944850.9
318,399001.SZ,20180608,10205.5178,10290.6287,10291.8951,10136.5842,10313.8458,-108.328,-1.0503,151727244.0,192911908.6
317,399001.SZ,20180611,10175.3463,10191.3068,10242.7581,10141.2711,10205.5178,-30.1715,-0.2956,131225344.0,177860882.9
316,399001.SZ,20180612,10315.2841,10187.3113,10322.9961,10124.9826,10175.3463,139.9378,1.3753,142568223.0,196641566.3
315,399001.SZ,20180613,10161.6484,10280.0771,10287.9958,10161.3869,10315.2841,-153.6357,-1.4894,142851632.0,186972512.0
314,399001.SZ,20180614,10084.1825,10124.7628,10213.7923,10054.3695,10161.6484,-77.4659,-0.7623,130720916.0,169792246.8
313,399001.SZ,20180615,9943.1268,10077.4267,10108.5327,9902.6342,10084.1825,-141.0557,-1.3988,159964433.0,193958895.8
312,399001.SZ,20180619,9414.7576,9775.9661,9815.0127,9336.6984,9943.1268,-528.3692,-5.3139,214212671.0,232494995.5
311,399001.SZ,20180620,9501.3366,9367.7442,9549.5296,9310.1856,9414.7576,86.579,0.9196,169974561.0,194874625.8
310,399001.SZ,20180621,9316.6758,9493.5044,9573.4859,9313.0917,9501.3366,-184.6608,-1.9435,173337573.0,196624850.2
309,399001.SZ,20180622,9409.953,9247.0189,9416.0896,9172.2964,9316.6758,93.2772,1.0012,152509541.0,172146233.6
308,399001.SZ,20180625,9324.8315,9472.9124,9494.4375,9320.6624,9409.953,-85.1215,-0.9046,150021423.0,175553599.7
307,399001.SZ,20180626,9339.3704,9200.9972,9364.5113,9175.3858,9324.8315,14.5389,0.1559,163332503.0,187372049.1
306,399001.SZ,20180627,9168.6614,9338.0057,9378.0783,9139.8162,9339.3704,-170.709,-1.8278,158240662.0,183706323.1
305,399001.SZ,20180628,9071.7291,9130.5243,9230.8902,9065.2044,9168.6614,-96.9323,-1.0572,152800208.0,176326504.3
304,399001.SZ,20180629,9379.4749,9100.5955,9381.025,9078.242,9071.7291,307.7458,3.3924,180437085.0,207416534.6
303,399001.SZ,20180702,9179.7955,9369.2438,9393.0977,9107.546,9379.4749,-199.6794,-2.1289,180839646.0,210042640.9
302,399001.SZ,20180703,9221.5357,9184.3116,9233.0202,8945.4191,9179.7955,41.7402,0.4547,193249685.0,232206208.9
301,399001.SZ,20180704,9035.486,9182.9584,9200.2724,9008.089,9221.5357,-186.0497,-2.0176,170891455.0,198615675.6
300,399001.SZ,20180705,8862.1773,9036.1212,9096.5389,8844.6734,9035.486,-173.3087,-1.9181,163346226.0,182472261.4
299,399001.SZ,20180706,8911.3415,8873.8997,9035.454,8736.3551,8862.1773,49.1642,0.5548,186062997.0,208214304.1
298,399001.SZ,20180709,9160.6208,8954.314,9160.6208,8954.314,8911.3415,249.2793,2.7973,161689088.0,190277975.9
297,399001.SZ,20180710,9205.426,9176.2905,9213.8654,9123.2193,9160.6208,44.8052,0.4891,163300557.0,193348049.0
296,399001.SZ,20180711,9023.8198,9024.7202,9092.8777,8916.9797,9205.426,-181.6062,-1.9728,178766515.0,202787585.2
295,399001.SZ,20180712,9273.6136,9019.9631,9312.3749,9019.9631,9023.8198,249.7938,2.7682,211251550.0,245476370.5
294,399001.SZ,20180713,9326.9668,9288.4715,9344.6523,9270.1984,9273.6136,53.3532,0.5753,186432415.0,219715594.8
293,399001.SZ,20180716,9317.3554,9322.9727,9366.2122,9278.0739,9326.9668,-9.6114,-0.103,166706969.0,196006858.7
292,399001.SZ,20180717,9285.1626,9307.6597,9307.6597,9175.6575,9317.3554,-32.1928,-0.3455,159232332.0,184592754.3
291,399001.SZ,20180718,9195.2393,9293.201,9335.095,9195.2393,9285.1626,-89.9233,-0.9685,175256581.0,198838579.4
290,399001.SZ,20180719,9148.7819,9214.8986,9266.9347,9116.4475,9195.2393,-46.4574,-0.5052,161620344.0,181552590.2
289,399001.SZ,20180720,9251.4803,9141.5115,9277.9519,9055.8634,9148.7819,102.6984,1.1225,169930479.0,192701385.8
288,399001.SZ,20180723,9314.3036,9188.4684,9314.3036,9160.047,9251.4803,62.8233,0.6791,199809119.0,224042743.7
287,399001.SZ,20180724,9465.8021,9316.6486,9491.2442,9313.1691,9314.3036,151.4985,1.6265,244672639.0,264149640.6
286,399001.SZ,20180725,9463.7599,9475.7207,9514.938,9436.9862,9465.8021,-2.0422,-0.0216,213146958.0,230878642.6
285,399001.SZ,20180726,9352.2508,9467.5645,9488.3902,9331.4528,9463.7599,-111.5091,-1.1783,229138686.0,222740396.4
284,399001.SZ,20180727,9295.9295,9344.7482,9363.1699,9270.3547,9352.2508,-56.3213,-0.6022,188934763.0,178252637.6
283,399001.SZ,20180730,9181.9403,9289.3568,9309.4418,9139.7377,9295.9295,-113.9892,-1.2262,178357087.0,180699888.8
282,399001.SZ,20180731,9178.7806,9168.8303,9216.7281,9132.0779,9181.9403,-3.1597,-0.0344,147991098.0,153584226.4
281,399001.SZ,20180801,9005.3729,9205.745,9235.7413,9005.3729,9178.7806,-173.4077,-1.8892,173264529.0,176825902.6
