,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
518,600036.SH,20170809,24.3096,24.5924,24.055,24.0832,24.3756,-0.2923999999999971,-1.1996,292485.9,754403.237
517,600036.SH,20170810,24.0172,24.2718,23.5552,23.7061,24.0832,-0.3771000000000022,-1.5658,464651.33,1172008.477
516,600036.SH,20170811,23.5458,23.8192,23.046,23.0931,23.7061,-0.6129999999999995,-2.5858,521732.38,1295751.449
515,600036.SH,20170814,23.1969,23.4609,22.8668,23.3855,23.0931,0.29240000000000066,1.2662,535947.72,1318539.816
514,600036.SH,20170815,23.3855,24.385,23.3666,24.0738,23.3855,0.6882999999999981,2.9433,536900.1,1370978.51
513,600036.SH,20170816,23.9607,24.0172,23.5929,23.7344,24.0738,-0.3393999999999977,-1.4098,297828.47,750197.213
512,600036.SH,20170817,23.7532,23.8569,23.4326,23.6306,23.7344,-0.10379999999999967,-0.4373,321460.44,803371.848
511,600036.SH,20170818,23.4892,24.1304,23.3855,23.9701,23.6306,0.33949999999999747,1.4367,397344.26,1003556.219
510,600036.SH,20170821,23.9701,24.0644,23.6212,23.8569,23.9701,-0.11319999999999908,-0.4723,315253.64,796215.293
509,600036.SH,20170822,23.9701,24.451,23.7438,24.4133,23.8569,0.5564,2.3322,502879.37,1289000.316
508,600036.SH,20170823,24.4982,25.2997,24.3567,25.0073,24.4133,0.5940000000000012,2.4331,607368.01,1607392.857
507,600036.SH,20170824,24.9885,25.3091,24.715,25.1677,25.0073,0.1603999999999992,0.6414,461615.5,1228209.405
506,600036.SH,20170825,25.2714,26.0069,25.2714,25.9597,25.1677,0.7920000000000016,3.1469,660920.14,1796548.787
505,600036.SH,20170828,26.0069,26.3086,25.4694,25.6863,25.9597,-0.2734000000000023,-1.0532,547461.21,1504650.78
504,600036.SH,20170829,25.7051,25.8937,25.5165,25.592,25.6863,-0.0943000000000005,-0.3671,328702.41,894606.523
503,600036.SH,20170830,25.8277,26.3652,25.4317,25.6108,25.592,0.01880000000000237,0.0735,472055.69,1292864.155
502,600036.SH,20170831,25.6108,25.724,24.9036,25.2242,25.6108,-0.3866000000000014,-1.5095,590810.38,1576347.728
501,600036.SH,20170901,25.2148,25.6297,25.0168,25.2337,25.2242,0.009499999999999176,0.0377,479746.43,1287996.634
500,600036.SH,20170904,25.0262,25.4505,24.9131,25.4223,25.2337,0.188600000000001,0.7474,356316.93,953928.876
499,600036.SH,20170905,25.3657,25.8089,25.2148,25.7806,25.4223,0.35829999999999984,1.4094,405732.9,1101285.043
498,600036.SH,20170906,25.724,25.724,25.2525,25.3468,25.7806,-0.43379999999999797,-1.6827,329486.66,890348.914
497,600036.SH,20170907,25.3657,25.3657,24.8093,24.847,25.3468,-0.49980000000000047,-1.9718,466756.59,1237783.129
496,600036.SH,20170908,24.8565,25.0828,24.7905,24.8753,24.847,0.028299999999997993,0.1139,290972.13,768685.716
495,600036.SH,20170911,25.0828,25.3562,24.6302,24.6867,24.8753,-0.188600000000001,-0.7582,467592.79,1236452.294
494,600036.SH,20170912,24.781,24.9791,24.4793,24.9319,24.6867,0.24520000000000053,0.9932,426202.26,1117346.102
493,600036.SH,20170913,24.9319,24.9696,24.5642,24.6773,24.9319,-0.25459999999999994,-1.0212,328668.66,861995.11
492,600036.SH,20170914,24.6867,24.7528,24.187,24.385,24.6773,-0.29229999999999734,-1.1845,472234.52,1222804.952
491,600036.SH,20170915,24.2813,24.5924,24.1304,24.4887,24.385,0.1036999999999999,0.4253,327862.67,847804.833
490,600036.SH,20170918,24.4887,24.6113,24.2247,24.2907,24.4887,-0.1980000000000004,-0.8085,511077.28,1323656.291
489,600036.SH,20170919,24.319,24.7528,24.2247,24.6773,24.2907,0.38659999999999783,1.5916,472741.18,1228816.253
488,600036.SH,20170920,24.6207,24.8188,24.3473,24.4133,24.6773,-0.26399999999999935,-1.0698,517859.47,1350601.225
487,600036.SH,20170921,24.4699,24.7905,24.3756,24.5736,24.4133,0.16029999999999944,0.6566,409272.53,1066972.505
486,600036.SH,20170922,24.4227,24.781,24.3567,24.4699,24.5736,-0.1036999999999999,-0.422,280309.92,729528.084
485,600036.SH,20170925,24.385,24.6302,24.2341,24.3378,24.4699,-0.13209999999999766,-0.5398,320064.96,829467.446
484,600036.SH,20170926,24.2436,24.4227,24.1775,24.2436,24.3378,-0.09420000000000073,-0.3871,224680.76,578862.322
483,600036.SH,20170927,24.2058,24.2813,23.8758,23.9512,24.2436,-0.29240000000000066,-1.2061,337791.55,861005.161
482,600036.SH,20170928,24.0267,24.0361,23.6872,23.7626,23.9512,-0.188600000000001,-0.7874,347232.19,875845.413
481,600036.SH,20170929,23.7626,24.3096,23.6966,24.0927,23.7626,0.3301000000000016,1.3892,471641.83,1200679.062
480,600036.SH,20171009,25.2714,25.4505,24.4133,24.5924,24.0927,0.4997000000000007,2.0741,1002965.37,2651928.457
479,600036.SH,20171010,24.5642,25.0356,23.9701,24.6302,24.5924,0.03779999999999717,0.1537,1052506.62,2722110.394
478,600036.SH,20171011,24.5642,24.7528,24.4321,24.5547,24.6302,-0.07549999999999812,-0.3065,483999.77,1261376.447
477,600036.SH,20171012,24.649,25.0356,24.5547,24.8659,24.5547,0.3111999999999995,1.2674,478422.07,1257728.399
476,600036.SH,20171013,24.8659,25.0356,24.6679,24.7056,24.8659,-0.16029999999999944,-0.6447,327343.25,860203.544
475,600036.SH,20171016,24.7905,25.4128,24.7056,25.3374,24.7056,0.6317999999999984,2.5573,707031.52,1886449.497
474,600036.SH,20171017,25.1771,25.7711,25.1582,25.4883,25.3374,0.15090000000000003,0.5956,582939.41,1577299.201
473,600036.SH,20171018,25.5165,25.7334,25.3751,25.5637,25.4883,0.07540000000000191,0.2958,383277.77,1037664.392
472,600036.SH,20171019,25.6108,25.7429,25.3845,25.5543,25.5637,-0.009399999999999409,-0.0368,408096.14,1107391.135
471,600036.SH,20171020,25.4223,25.526,25.1771,25.2431,25.5543,-0.31120000000000303,-1.2178,281302.62,755916.482
470,600036.SH,20171023,25.2431,25.3562,24.9602,24.9885,25.2431,-0.25459999999999994,-1.0086,347313.42,925253.803
469,600036.SH,20171024,25.0073,25.2997,24.9036,25.1016,24.9885,0.11310000000000286,0.4526,370779.31,988906.813
468,600036.SH,20171025,25.0545,25.3562,24.8942,25.2714,25.1016,0.16979999999999862,0.6765,339319.69,905316.39
467,600036.SH,20171026,25.1394,25.6486,24.9131,25.0356,25.2714,-0.23580000000000112,-0.9331,688502.33,1839713.642
466,600036.SH,20171027,25.1582,26.5349,25.1582,26.4972,25.0356,1.4616000000000007,5.8381,1228582.98,3388881.803
465,600036.SH,20171030,26.2615,26.4595,25.9409,26.2049,26.4972,-0.2923000000000009,-1.1031,1039980.76,2890850.82
464,600036.SH,20171031,25.9315,26.0257,25.3751,25.5543,26.2049,-0.6505999999999972,-2.4827,624173.34,1692746.769
463,600036.SH,20171101,25.5637,25.6297,25.1299,25.3657,25.5543,-0.188600000000001,-0.738,695137.33,1866958.998
462,600036.SH,20171102,25.2714,25.4788,25.1771,25.4694,25.3657,0.1036999999999999,0.4088,362394.53,974720.024
461,600036.SH,20171103,25.4411,25.6108,25.0922,25.5165,25.4694,0.047100000000000364,0.1849,680869.07,1829746.496
460,600036.SH,20171106,25.3657,25.4034,24.7716,25.0922,25.5165,-0.42430000000000234,-1.6628,699591.23,1854555.217
459,600036.SH,20171107,25.0828,25.7051,25.0168,25.4883,25.0922,0.39610000000000056,1.5786,730614.56,1968881.356
458,600036.SH,20171108,25.46,25.8654,25.2714,25.5448,25.4883,0.05649999999999977,0.2217,720480.87,1958201.904
457,600036.SH,20171109,25.4505,25.9032,25.3091,25.526,25.5448,-0.018799999999998818,-0.0736,351539.36,952783.904
456,600036.SH,20171110,25.3751,25.6674,25.0734,25.526,25.526,0.0,0.0,700108.39,1882008.398
455,600036.SH,20171113,25.5637,26.733,25.5637,26.0918,25.526,0.5657999999999994,2.2166,1367637.38,3814308.501
454,600036.SH,20171114,26.1672,26.667,26.1012,26.4218,26.0918,0.33000000000000185,1.2648,844499.09,2361867.31
453,600036.SH,20171115,26.2049,26.6858,26.0352,26.2898,26.4218,-0.13200000000000145,-0.4996,690364.14,1927570.96
452,600036.SH,20171116,26.1861,26.5255,25.922,26.4972,26.2898,0.2073999999999998,0.7889,679488.6,1892846.691
451,600036.SH,20171117,26.6858,27.8174,26.6858,27.7042,26.4972,1.2070000000000007,4.5552,1551975.18,4524400.131
450,600036.SH,20171120,27.7042,28.9489,27.4308,28.7886,27.7042,1.0843999999999987,3.9142,1309590.08,3912283.987
449,600036.SH,20171121,28.5717,29.5147,28.3643,28.6283,28.7886,-0.16029999999999944,-0.5568,1119846.33,3439543.678
