,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1781,600036.SH,20120518,133370,15463.28,39425,4574.43,171801,19924.3,140354,16286.36,180677,20957.21,169202,19636.61,198990,23060.24,335857,38907.62,-229988,-26626.3
1780,600036.SH,20120521,39906,4629.69,30612,3556.18,91867,10659.24,76235,8854.58,96615,11210.71,106490,12360.58,240240,27906.22,255291,29634.52,31581,3680.81
1779,600036.SH,20120522,40979,4821.64,56906,6700.45,76586,9011.82,115581,13593.01,118587,13951.84,110356,12993.26,175578,20678.19,128887,15176.77,-4194,-472.52
1778,600036.SH,20120523,30945,3639.11,27572,3243.87,57504,6765.35,81471,9587.92,98725,11610.08,97955,11521.08,195057,22939.2,175233,20600.87,-47019,-5523.43
1777,600036.SH,20120524,44663,5221.88,26662,3123.53,66010,7721.49,45515,5334.07,111116,13021.99,83564,9793.91,244738,28747.54,310788,36461.38,-78486,-9171.05
1776,600036.SH,20120525,44059,5111.62,25918,3007.02,88120,10223.83,96135,11152.95,69077,8015.29,68682,7970.97,101055,11721.36,111576,12941.14,-61569,-7136.16
1775,600036.SH,20120528,55747,6468.84,31552,3662.85,134078,15558.87,159562,18511.24,153460,17804.33,148844,17271.88,247987,28775.29,251314,29161.37,-8668,-977.32
1774,600036.SH,20120529,70158,8196.39,61470,7213.23,155685,18209.9,163510,19132.38,204131,23897.56,171133,20029.37,183896,21549.85,217757,25478.72,8678,1092.26
1773,600036.SH,20120531,81011,9407.47,52014,6046.09,128677,14950.11,113976,13249.51,160101,18602.27,152962,17768.67,375755,43638.29,426592,49533.87,-92657,-10718.27
1772,600036.SH,20120601,55361,6457.01,34574,4033.91,117420,13698.84,74971,8747.41,147160,17167.61,133988,15634.7,276856,32281.8,353265,41189.23,-32341,-3749.8
1771,600036.SH,20120604,143199,16420.71,38476,4410.56,165285,18959.99,115179,13218.77,172031,19729.96,177580,20362.11,293473,33657.45,442753,50776.66,-220716,-25297.05
1770,600036.SH,20120605,74681,8575.61,62173,7154.7,99758,11454.73,123201,14164.24,150988,17347.93,169040,19423.5,302687,34855.64,273701,31491.46,-35740,-4109.28
1769,600036.SH,20120606,47040,5475.78,61767,7193.5,149041,17353.03,119147,13875.79,138494,16124.38,136176,15847.55,355127,41349.81,372612,43386.16,63696,7429.98
1768,600036.SH,20120607,45528,5142.5,37901,4282.39,69529,7853.11,125827,14203.38,90656,10242.66,126932,14339.04,281260,31772.82,196312,22186.28,-118154,-13325.3
1767,600036.SH,20120608,163558,17888.12,65516,7172.43,367758,40198.01,229328,25081.16,251087,27464.38,316318,34607.24,284181,31176.27,455420,49865.95,-89052,-9739.52
1766,600036.SH,20120611,61134,6679.52,40597,4439.0,106295,11617.61,85745,9376.27,95119,10405.13,111853,12235.66,82970,9080.11,107323,11731.45,20142,2210.5
1765,600036.SH,20120612,102043,11019.02,40288,4357.94,117189,12659.73,92263,9981.06,119714,12936.19,147153,15908.32,133290,14407.88,192532,20775.51,-38165,-4135.17
1764,600036.SH,20120613,77911,8463.96,56032,6094.69,99329,10801.82,92706,10087.8,115063,12520.66,125655,13663.05,87830,9547.21,105739,11488.12,17613,1920.06
1763,600036.SH,20120614,72307,7826.76,65280,7073.03,78708,8523.24,99131,10751.0,110249,11941.72,126349,13687.01,174935,18981.68,145439,15762.35,-36254,-3904.14
1762,600036.SH,20120615,61178,6746.1,94184,10393.04,138427,15263.45,154622,17057.12,172419,19019.81,166354,18350.68,130836,14447.29,87698,9675.81,55285,6104.04
