,ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
1621,002405.SZ,20120710,42875,5383.33,36326,4572.68,46589,5852.8,43914,5522.3,17189,2167.85,23823,2989.95,163,20.45,2754,339.5,-9141,-1131.66
1620,002405.SZ,20120711,27442,3416.6,34718,4337.16,37851,4728.6,38654,4828.52,24534,3063.41,19585,2442.76,4222,535.25,1092,135.41,6668,844.09
1619,002405.SZ,20120712,40188,5084.27,33709,4274.6,39487,4996.27,44487,5632.53,18987,2411.5,18411,2324.11,0,0,2055,260.8,1563,213.51
1618,002405.SZ,20120713,40657,5036.61,22193,2752.63,38268,4739.84,39775,4928.67,12376,1531.93,25823,3190.8,988,122.49,4498,558.77,-28274,-3501.04
1617,002405.SZ,20120716,33901,4008.44,21902,2589.48,32335,3822.39,34093,4025.76,10837,1279.53,19458,2303.85,0,0,1619,191.27,-17127,-2029.08
1616,002405.SZ,20120717,20374,2408.7,19458,2305.91,23443,2774.23,23568,2789.92,9620,1139.9,10411,1227.43,1000,119.42,1000,119,2861,343.31
1615,002405.SZ,20120718,18497,2185.34,16726,1981.37,22466,2658.09,19695,2328.55,6447,763.76,10894,1285.89,0,0,96,11.38,-3396,-390.73
1614,002405.SZ,20120719,22237,2709.43,27018,3295.69,32363,3945.88,31681,3865.98,15586,1905.24,14574,1779.37,3089,380.86,3,0.36,2523,313.47
1613,002405.SZ,20120720,24957,3054.05,30892,3800.56,38114,4686.29,34378,4232.59,25756,3185.52,21619,2656.14,0,0,1939,236.56,-192,-1.8
1612,002405.SZ,20120723,36617,4651.09,42391,5396.16,53417,6782.08,52529,6677.08,29934,3815.32,26817,3401.41,4659,591.71,2890,365.55,-3169,-382.43
1611,002405.SZ,20120724,30000,3785.7,38867,4938.16,41409,5247.32,43134,5472.39,39786,5057.04,32981,4169.99,4626,597.99,840,107.5,16650,2149.2
1610,002405.SZ,20120725,39169,5100.78,40345,5262.59,48298,6297.16,54007,7040.7,37645,4915.35,30658,3994.77,3302,427.94,3404,443.18,330,59.81
1609,002405.SZ,20120726,27575,3523.94,22535,2885.08,29466,3769.06,32739,4189.85,13237,1688.72,15003,1906.79,0,0,0,0,-17765,-2267.63
1608,002405.SZ,20120727,28614,3631.57,22955,2920.1,25530,3240.53,26892,3416.29,13249,1685.46,20527,2599.08,5867,741.42,2886,363.51,5109,653.11
1607,002405.SZ,20120730,24819,3100.32,15021,1878.7,22312,2786.64,20988,2626,5073,634.44,15360,1913.81,0,0,836,102.89,-13110,-1633.14
1606,002405.SZ,20120731,39315,4636.86,16457,1945.02,34920,4113.7,28234,3330.5,24084,2824.55,50814,5970.13,0,0,2814,329.46,-17934,-2111.75
1605,002405.SZ,20120801,16097,1912.41,17420,2072.77,24049,2858.42,21749,2584.93,8462,1009.44,9439,1122.57,0,0,0,0,-1220,-143.75
1604,002405.SZ,20120802,14278,1696.49,11868,1411.98,11387,1353.87,12781,1519.49,3722,442.59,4824,571.63,86,10.15,0,0,-4393,-516.82
1603,002405.SZ,20120803,14641,1766.19,18633,2253.27,19356,2339.66,17631,2131.37,9734,1178.56,6235,751.7,50,6.03,1282,154.1,8030,977.15
1602,002405.SZ,20120806,22324,2806.98,31920,4020.1,34663,4366.75,36948,4654.46,25932,3263.56,20013,2508.98,5962,746.26,0,0,6806,863.18
1601,002405.SZ,20120807,34013,4354.42,32409,4155.89,40201,5148.49,43142,5522.86,23165,2973.22,21521,2758.73,829,104.37,1136,143.02,6744,878.66
1600,002405.SZ,20120808,31397,4099.51,40709,5319.44,41847,5462.87,48424,6328.17,39861,5212.71,29670,3875.32,10467,1372.89,4770,625.04,1227,169.25
1599,002405.SZ,20120809,23351,3054.71,26193,3429.54,36009,4714.4,37494,4907.32,29796,3903.6,30436,3989.01,4967,653.16,0,0,11170,1468.88
1598,002405.SZ,20120810,38325,5128.48,39154,5244.23,55206,7394.89,59905,8019.01,39428,5284.68,35985,4823.68,4145,558.67,2060,279.8,-898,-108.94
1597,002405.SZ,20120813,32231,4176.04,23448,3039.46,33208,4306.48,32436,4206.64,14169,1838.3,21647,2805,850,111.14,2929,380.86,-9841,-1268.77
1596,002405.SZ,20120814,39451,5158.95,44545,5864.68,51604,6775.09,57693,7581.94,56380,7389.01,45409,5922.97,5751,765.23,5539,718.69,11185,1554.39
1595,002405.SZ,20120815,32558,4360.64,22459,3010.04,40618,5442.65,36269,4859.96,27300,3659.01,35480,4754.32,2000,269.78,8268,1107.75,-20890,-2792.95
1594,002405.SZ,20120816,28264,3806.05,27815,3749.33,41237,5557.35,44683,6018.78,25386,3424,23233,3135.65,1755,239.06,911,122.71,-930,-110.66
1593,002405.SZ,20120817,20678,2734.16,18187,2407.78,17809,2357.99,19820,2622.59,12309,1629.36,12789,1691.15,0,0,0,0,-9293,-1227.28
1592,002405.SZ,20120820,18615,2449.47,18539,2445.28,20534,2707.63,20014,2638.53,8663,1139.93,7724,1013.49,204,26.56,1740,226.28,-3401,-429.75
1591,002405.SZ,20120821,37066,5129.72,52817,7320.22,55216,7632.58,64062,8867.65,45899,6359.58,32139,4447.21,11953,1664.6,1115,151.4,22794,3187.52
1590,002405.SZ,20120822,26315,3656.3,19684,2737.14,29857,4149.64,29414,4087.65,15969,2221.77,19919,2769.6,0,0,3124,433.32,-9668,-1335.37
1589,002405.SZ,20120823,30923,4417.65,43093,6167.74,44634,6384.62,54750,7843.53,49162,7057.52,30220,4331.04,7293,1049.21,3948,566.69,17761,2553.9
1588,002405.SZ,20120824,40435,5885.17,43992,6419.06,52169,7607.35,62425,9107.1,46789,6839.69,34635,5045.65,4306,627.4,2646,387.8,-949,-106.7
1587,002405.SZ,20120827,33283,4693.47,29944,4233.14,40545,5731.56,47498,6715.51,22253,3160.63,21103,2984.9,3487,490.45,1022,142.55,-7012,-984.7
1586,002405.SZ,20120828,23301,3309.72,22256,3166.39,24432,3477.32,26055,3706.74,9414,1341.5,10463,1488.01,2436,348.43,809,115.85,1488,217.16
1585,002405.SZ,20120829,25132,3632.84,26509,3835.75,35681,5162.94,32355,4682.44,13440,1945.43,14290,2063.89,0,0,1098,159.14,875,131.2
1584,002405.SZ,20120830,33466,4703.19,28004,3944.74,34460,4849.38,39872,5611.84,16473,2326.35,17264,2428.51,1686,236.5,945,130.32,-12671,-1771.53
